sector,ticker
2,BBY
1,SNA
1,RCL
8,EXPE
8,TRIP
1,FOXA
0,AZO
1,PHM
0,UAA
1,F
1,GRMN
1,SWK
1,OMC
0,SBUX
0,BKNG
4,CHTR
9,CMCSA
2,TPR
1,DIS
1,CCL
1,DHI
8,DISCA
0,DISH
1,MAT
7,TSCO
1,BWA
1,GM
1,APTV
0,CMG
9,IPG
7,LOW
0,LKQ
2,GPC
1,MHK
1,WHR
2,AAP
1,MGM
1,LEG
1,LEN
0,NWL
0,M
0,AMZN
1,GT
1,JWN
0,ORLY
0,HBI
1,MCD
0,HD
1,HAS
1,NCLH
1,KO
0,COST
2,CL
0,CLX
0,CVS
1,PEP
1,CHD
1,PM
0,HRL
1,PG
2,EL
2,SYY
1,MDLZ
0,K
1,KMB
0,MNST
1,TAP
0,MKC
0,CPB
1,MO
2,WBA
0,WMT
0,TSN
0,HSY
0,ADM
1,SLB
1,WMB
1,KMI
1,EOG
1,CVX
1,NOV
1,OXY
1,APC
1,HAL
1,HP
1,HES
1,NBL
5,PSX
4,CXO
1,XEC
1,MRO
1,COP
1,BEN
3,PBCT
9,ALL
9,TRV
3,CMA
9,AJG
3,FITB
3,USB
3,JPM
9,CB
3,MTB
9,AON
9,AXP
3,AIG
9,UNM
3,NTRS
9,CINF
3,SCHW
3,BK
4,ICE
9,HIG
3,ZION
3,C
3,NAVI
4,CME
9,MMC
9,NDAQ
3,BAC
9,AMG
3,DFS
3,BBT
3,ETFC
0,CBOE
1,SPGI
3,STI
1,BRK.B
3,STT
3,SIVB
1,TROW
9,RE
3,KEY
3,RJF
3,HBAN
3,MET
3,COF
3,RF
3,WFC
8,LLY
1,MTD
1,ILMN
0,IDXX
1,VAR
9,INCY
9,VRTX
1,AGN
1,ABT
8,ALXN
8,JNJ
1,NKTR
1,LH
8,ISRG
1,A
8,ALGN
0,ZTS
1,PKI
1,PRGO
8,SYK
1,DGX
1,BDX
1,BAX
0,HUM
8,RMD
8,EW
1,BSX
1,REGN
1,DHR
1,DVA
9,CI
1,HOLX
1,UHS
0,HSIC
0,HCA
0,CAH
0,ABC
1,COO
1,AMGN
0,CNC
8,GILD
0,UNH
0,ANTM
1,CERN
8,BIIB
1,XYL
1,TXT
1,TDG
1,LUV
9,NLSN
1,COL
1,NSC
1,NOC
0,VRSK
1,UTX
1,URI
1,UPS
1,PCAR
1,ROP
1,PH
1,UNP
1,PWR
1,RTN
1,WM
1,RSG
2,RHI
1,ROK
1,UAL
0,PNR
1,MMM
1,MAS
0,FBHS
1,CSX
1,IR
1,ITW
9,INFO
5,HII
1,HON
1,BA
1,FLS
2,GWW
0,FLR
1,CAT
1,GD
9,EFX
1,CMI
1,AME
1,DAL
1,LLL
1,DE
1,AYI
1,KSU
1,LMT
0,EXPD
1,ALK
1,EMR
0,JCI
0,JEC
0,JBHT
2,FAST
1,DOV
1,AOS
1,ETN
0,CTSH
1,GLW
0,MA
1,STX
8,SNPS
1,SWKS
8,EBAY
1,TEL
1,TSS
8,CTXS
0,ACN
1,ATVI
1,XRX
8,ADBE
0,AMD
8,AKAM
9,WU
1,WDC
9,ADS
9,V
9,VRSN
1,APH
8,ADI
1,AAPL
1,AMAT
9,ADP
1,AVGO
8,CDNS
1,CSCO
0,TXN
1,GPN
1,IBM
8,INTC
8,FB
1,HPQ
1,HRS
1,NVDA
9,FIS
9,FISV
0,IT
1,FLIR
8,INTU
1,IPGP
7,NFLX
8,FFIV
1,LRCX
1,MU
8,MSFT
1,QCOM
1,KLAC
1,MSI
1,JNPR
0,WRK
0,LYB
1,IP
1,CF
1,MOS
1,NUE
1,VMC
0,BLL
0,AVY
1,APD
1,NEM
1,FCX
2,ECL
1,DWDP
0,SHW
1,PPG
1,SEE
1,FMC
6,EQR
9,SLG
9,SPG
1,WY
4,KIM
4,VTR
4,PLD
9,VNO
4,SBAC
9,IRM
4,DRE
4,ARE
9,HST
4,O
4,ESS
4,DLR
4,CCI
4,REG
9,BXP
4,FRT
6,AVB
9,HCP
4,UDR
9,EQIX
9,MAC
1,T
1,VZ
1,AES
1,EXC
1,XEL
1,ETR
1,EIX
1,ES
1,WEC
1,CMS
1,ED
1,PNW
1,FE
1,CNP
1,PPL
1,SO
1,DTE
1,NI
1,NEE
1,AWK
1,SRE
1,AEE
1,DUK
1,LNT
1,AEP
